name,kana,per,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,vitA_ug,vitB1_mg,vitB2_mg,vitC_mg
ちぢみゆきな　葉　ゆで,ちぢみゆきな　葉　ゆで,100,34.0,3.8,0.7,0.0,4.3,500.0,0.0,0.0,39.0
チンゲンサイ　葉　生,チンゲンサイ　葉　生,100,9.0,0.6,0.1,0.4,1.2,170.0,0.0,0.0,24.0
チンゲンサイ　葉　ゆで,チンゲンサイ　葉　ゆで,100,11.0,0.9,0.1,0.5,1.5,220.0,0.0,0.0,15.0
チンゲンサイ　葉　油いため,チンゲンサイ　葉　油いため,100,36.0,0.8,3.2,0.5,1.4,250.0,0.0,0.0,21.0
つくし　胞子茎　生,つくし　胞子茎　生,100,31.0,3.5,0.1,0.0,8.1,88.0,0.0,0.0,33.0
つくし　胞子茎　ゆで,つくし　胞子茎　ゆで,100,28.0,3.4,0.1,0.0,6.7,96.0,0.0,0.0,15.0
つるな　茎葉　生,つるな　茎葉　生,100,15.0,1.8,0.1,0.0,2.3,230.0,0.0,0.0,22.0
つるにんじん　根　生,つるにんじん　根　生,100,55.0,1.0,0.7,0.0,17.1,1.0,0.0,0.0,6.0
つるむらさき　茎葉　生,つるむらさき　茎葉　生,100,11.0,0.7,0.2,0.0,2.2,250.0,0.0,0.0,41.0
つるむらさき　茎葉　ゆで,つるむらさき　茎葉　ゆで,100,12.0,0.9,0.2,0.0,3.1,280.0,0.0,0.0,18.0
つわぶき　葉柄　生,つわぶき　葉柄　生,100,19.0,0.4,0.0,0.0,2.5,5.0,0.0,0.0,4.0
つわぶき　葉柄　ゆで,つわぶき　葉柄　ゆで,100,14.0,0.3,0.0,0.0,2.3,7.0,0.0,0.0,0.0
とうがらし　葉･果実　生,とうがらし　葉･果実　生,100,32.0,3.4,0.1,0.0,5.7,430.0,0.0,0.0,92.0
とうがらし　葉･果実　油いため,とうがらし　葉･果実　油いため,100,81.0,4.0,4.9,0.0,6.3,480.0,0.0,0.0,56.0
とうがらし　果実　生,とうがらし　果実　生,100,72.0,3.9,3.4,7.7,10.3,640.0,0.0,0.0,120.0
とうがらし　果実　乾,とうがらし　果実　乾,100,270.0,14.7,12.0,0.0,46.4,1500.0,0.0,0.0,1.0
とうがん　果実　生,とうがん　果実　生,100,15.0,0.5,0.1,0.0,1.3,0.0,0.0,0.0,39.0
とうがん　果実　ゆで,とうがん　果実　ゆで,100,15.0,0.6,0.1,0.0,1.5,0.0,0.0,0.0,27.0
（とうもろこし類）　スイートコーン　未熟種子　生,（とうもろこし類）　スイートコーン　未熟種子　生,100,89.0,3.6,1.7,12.0,3.0,4.0,0.0,0.0,8.0
（とうもろこし類）　スイートコーン　未熟種子　ゆで,（とうもろこし類）　スイートコーン　未熟種子　ゆで,100,95.0,3.5,1.7,12.8,3.1,4.0,0.0,0.0,6.0
（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,100,104.0,4.2,2.2,13.8,3.4,5.0,0.0,0.0,6.0
（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,100,96.0,3.5,1.5,12.7,2.8,7.0,0.0,0.0,6.0
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,100,91.0,2.9,1.3,15.5,4.8,6.0,0.0,0.0,4.0
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,100,92.0,2.8,1.5,14.6,6.2,6.0,0.0,0.0,2.0
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,100,125.0,2.9,5.8,15.2,4.7,6.0,0.0,0.0,3.0
（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,100,82.0,1.7,0.5,0.0,1.8,4.0,0.0,0.0,3.0
（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,100,78.0,2.3,0.5,13.0,3.3,5.0,0.0,0.0,2.0
（とうもろこし類）　ヤングコーン　幼雌穂　生,（とうもろこし類）　ヤングコーン　幼雌穂　生,100,29.0,2.3,0.2,4.1,2.7,3.0,0.0,0.0,9.0
（トマト類）　赤色トマト　果実　生,（トマト類）　赤色トマト　果実　生,100,20.0,0.7,0.1,3.1,1.0,45.0,0.0,0.0,15.0
（トマト類）　赤色ミニトマト　果実　生,（トマト類）　赤色ミニトマト　果実　生,100,30.0,1.1,0.1,4.5,1.4,80.0,0.0,0.0,32.0
（トマト類）　黄色トマト　果実　生,（トマト類）　黄色トマト　果実　生,100,18.0,1.1,0.4,0.0,1.3,9.0,0.0,0.0,28.0
（トマト類）　ドライトマト,（トマト類）　ドライトマト,100,291.0,14.2,2.1,29.2,21.7,220.0,0.0,0.0,15.0
（トマト類）　加工品　ホール　食塩無添加,（トマト類）　加工品　ホール　食塩無添加,100,21.0,0.9,0.2,3.6,1.3,47.0,0.0,0.0,10.0
（トマト類）　加工品　トマトジュース　食塩添加,（トマト類）　加工品　トマトジュース　食塩添加,100,15.0,0.7,0.1,2.9,0.7,26.0,0.0,0.0,6.0
（トマト類）　加工品　トマトジュース　食塩無添加,（トマト類）　加工品　トマトジュース　食塩無添加,100,18.0,0.7,0.1,0.0,0.7,26.0,0.0,0.0,6.0
（トマト類）　加工品　ミックスジュース　食塩添加,（トマト類）　加工品　ミックスジュース　食塩添加,100,18.0,0.6,0.0,0.0,0.7,32.0,0.0,0.0,3.0
（トマト類）　加工品　ミックスジュース　食塩無添加,（トマト類）　加工品　ミックスジュース　食塩無添加,100,18.0,0.6,0.0,0.0,0.7,32.0,0.0,0.0,3.0
トレビス　葉　生,トレビス　葉　生,100,17.0,1.1,0.2,0.0,2.0,1.0,0.0,0.0,6.0
とんぶり　ゆで,とんぶり　ゆで,100,89.0,6.1,3.5,0.0,7.1,67.0,0.0,0.0,1.0
ながさきはくさい　葉　生,ながさきはくさい　葉　生,100,12.0,1.3,0.1,0.0,2.2,160.0,0.0,0.0,88.0
ながさきはくさい　葉　ゆで,ながさきはくさい　葉　ゆで,100,18.0,2.2,0.1,0.0,2.4,220.0,0.0,0.0,23.0
（なす類）　なす　果実　生,（なす類）　なす　果実　生,100,18.0,1.1,0.1,2.6,2.2,8.0,0.0,0.0,4.0
（なす類）　なす　果実　ゆで,（なす類）　なす　果実　ゆで,100,17.0,1.0,0.1,2.3,2.1,8.0,0.0,0.0,1.0
（なす類）　なす　果実　油いため,（なす類）　なす　果実　油いため,100,73.0,1.5,5.8,3.2,2.6,16.0,0.0,0.0,2.0
（なす類）　なす　果実　天ぷら,（なす類）　なす　果実　天ぷら,100,165.0,1.6,14.0,9.7,1.9,9.0,0.0,0.0,2.0
（なす類）　べいなす　果実　生,（なす類）　べいなす　果実　生,100,20.0,1.1,0.1,2.6,2.4,4.0,0.0,0.0,6.0
（なす類）　べいなす　果実　素揚げ,（なす類）　べいなす　果実　素揚げ,100,177.0,1.0,17.0,3.1,1.8,2.0,0.0,0.0,2.0
（なす類）　漬物　塩漬,（なす類）　漬物　塩漬,100,22.0,1.4,0.1,0.0,2.7,4.0,0.0,0.0,7.0
（なす類）　漬物　ぬかみそ漬,（なす類）　漬物　ぬかみそ漬,100,27.0,1.7,0.1,0.0,2.7,2.0,0.0,0.0,8.0
（なす類）　漬物　こうじ漬,（なす類）　漬物　こうじ漬,100,87.0,5.5,0.1,0.0,4.2,0.0,0.0,0.0,0.0
（なす類）　漬物　からし漬,（なす類）　漬物　からし漬,100,127.0,2.6,0.2,0.0,4.2,6.0,0.0,0.0,87.0
（なす類）　漬物　しば漬,（なす類）　漬物　しば漬,100,27.0,1.4,0.2,0.0,4.4,48.0,0.0,0.0,0.0
なずな　葉　生,なずな　葉　生,100,35.0,4.3,0.1,0.0,5.4,430.0,0.0,0.0,110.0
（なばな類）　和種なばな　花らい・茎　生,（なばな類）　和種なばな　花らい・茎　生,100,34.0,4.4,0.2,0.0,4.2,180.0,0.0,0.0,130.0
（なばな類）　和種なばな　花らい・茎　ゆで,（なばな類）　和種なばな　花らい・茎　ゆで,100,28.0,4.7,0.1,0.0,4.3,200.0,0.0,0.0,44.0
（なばな類）　洋種なばな　茎葉　生,（なばな類）　洋種なばな　茎葉　生,100,36.0,4.1,0.4,0.0,3.7,220.0,0.0,0.0,110.0
（なばな類）　洋種なばな　茎葉　ゆで,（なばな類）　洋種なばな　茎葉　ゆで,100,30.0,3.6,0.4,0.0,4.1,230.0,0.0,0.0,55.0
にがうり　果実　生,にがうり　果実　生,100,15.0,1.0,0.1,0.3,2.6,17.0,0.0,0.0,76.0
にがうり　果実　油いため,にがうり　果実　油いため,100,47.0,1.2,3.3,0.4,2.8,19.0,0.0,0.0,75.0
（にら類）　にら　葉　生,（にら類）　にら　葉　生,100,18.0,1.7,0.3,1.7,2.7,290.0,0.0,0.0,19.0
（にら類）　にら　葉　ゆで,（にら類）　にら　葉　ゆで,100,27.0,2.6,0.5,2.3,4.3,370.0,0.0,0.0,11.0
（にら類）　にら　葉　油いため,（にら類）　にら　葉　油いため,100,69.0,1.9,5.7,2.0,3.5,380.0,0.0,0.0,21.0
（にら類）　花にら　花茎・花らい　生,（にら類）　花にら　花茎・花らい　生,100,27.0,1.9,0.2,0.0,2.8,91.0,0.0,0.0,23.0
（にら類）　黄にら　葉　生,（にら類）　黄にら　葉　生,100,18.0,2.1,0.1,0.0,2.0,5.0,0.0,0.0,15.0
（にんじん類）　葉にんじん　葉　生,（にんじん類）　葉にんじん　葉　生,100,16.0,1.1,0.2,0.0,2.7,140.0,0.0,0.0,22.0
（にんじん類）　にんじん　根　皮つき　生,（にんじん類）　にんじん　根　皮つき　生,100,35.0,0.7,0.2,5.8,2.8,720.0,0.0,0.0,6.0
（にんじん類）　にんじん　根　皮つき　ゆで,（にんじん類）　にんじん　根　皮つき　ゆで,100,29.0,0.6,0.2,5.2,3.0,710.0,0.0,0.0,4.0
（にんじん類）　にんじん　根　皮なし　生,（にんじん類）　にんじん　根　皮なし　生,100,30.0,0.8,0.1,5.7,2.4,690.0,0.0,0.0,6.0
（にんじん類）　にんじん　根　皮なし　ゆで,（にんじん類）　にんじん　根　皮なし　ゆで,100,28.0,0.7,0.1,5.0,2.8,730.0,0.0,0.0,4.0
（にんじん類）　にんじん　根　皮なし　油いため,（にんじん類）　にんじん　根　皮なし　油いため,100,103.0,1.1,6.4,7.4,3.1,1000.0,0.0,0.0,5.0
（にんじん類）　にんじん　根　皮なし　素揚げ,（にんじん類）　にんじん　根　皮なし　素揚げ,100,87.0,1.0,3.5,8.1,1.1,330.0,0.0,0.0,6.0
（にんじん類）　にんじん　根　皮　生,（にんじん類）　にんじん　根　皮　生,100,26.0,0.7,0.2,0.0,3.8,720.0,0.0,0.0,4.0
（にんじん類）　にんじん　根　冷凍,（にんじん類）　にんじん　根　冷凍,100,30.0,0.8,0.2,4.5,4.1,920.0,0.0,0.0,4.0
（にんじん類）　にんじん　根　冷凍　ゆで,（にんじん類）　にんじん　根　冷凍　ゆで,100,24.0,0.7,0.2,3.3,3.5,1000.0,0.0,0.0,1.0
（にんじん類）　にんじん　根　冷凍　油いため,（にんじん類）　にんじん　根　冷凍　油いため,100,65.0,0.9,4.0,4.9,4.2,1100.0,0.0,0.0,2.0
（にんじん類）　にんじん　グラッセ,（にんじん類）　にんじん　グラッセ,100,53.0,0.7,1.4,9.1,2.6,880.0,0.0,0.0,2.0
（にんじん類）　にんじん　ジュース　缶詰,（にんじん類）　にんじん　ジュース　缶詰,100,29.0,0.6,0.1,5.7,0.2,370.0,0.0,0.0,1.0
（にんじん類）　きんとき　根　皮つき　生,（にんじん類）　きんとき　根　皮つき　生,100,39.0,1.8,0.2,0.0,3.9,410.0,0.0,0.0,8.0
（にんじん類）　きんとき　根　皮つき　ゆで,（にんじん類）　きんとき　根　皮つき　ゆで,100,37.0,1.9,0.2,0.0,4.3,410.0,0.0,0.0,6.0
（にんじん類）　きんとき　根　皮なし　生,（にんじん類）　きんとき　根　皮なし　生,100,40.0,1.8,0.3,0.0,3.6,380.0,0.0,0.0,8.0
（にんじん類）　きんとき　根　皮なし　ゆで,（にんじん類）　きんとき　根　皮なし　ゆで,100,40.0,1.9,0.4,0.0,4.1,400.0,0.0,0.0,8.0
（にんじん類）　ミニキャロット　根　生,（にんじん類）　ミニキャロット　根　生,100,26.0,0.7,0.2,4.6,2.7,500.0,0.0,0.0,4.0
（にんにく類）　にんにく　りん茎　生,（にんにく類）　にんにく　りん茎　生,100,129.0,6.4,0.9,1.0,6.2,0.0,0.0,0.0,12.0
（にんにく類）　にんにく　りん茎　油いため,（にんにく類）　にんにく　りん茎　油いため,100,191.0,8.2,5.9,1.2,6.8,0.0,0.0,0.0,10.0
（にんにく類）　茎にんにく　花茎　生,（にんにく類）　茎にんにく　花茎　生,100,44.0,1.9,0.3,0.0,3.8,60.0,0.0,0.0,45.0
（にんにく類）　茎にんにく　花茎　ゆで,（にんにく類）　茎にんにく　花茎　ゆで,100,43.0,1.7,0.2,0.0,3.8,56.0,0.0,0.0,39.0
（ねぎ類）　根深ねぎ　葉　軟白　生,（ねぎ類）　根深ねぎ　葉　軟白　生,100,35.0,1.4,0.1,3.6,2.5,7.0,0.0,0.0,14.0
（ねぎ類）　根深ねぎ　葉　軟白　ゆで,（ねぎ類）　根深ねぎ　葉　軟白　ゆで,100,28.0,1.3,0.1,3.0,2.5,6.0,0.0,0.0,10.0
（ねぎ類）　根深ねぎ　葉　軟白　油いため,（ねぎ類）　根深ねぎ　葉　軟白　油いため,100,77.0,1.6,4.4,4.1,2.7,6.0,0.0,0.0,15.0
（ねぎ類）　葉ねぎ　葉　生,（ねぎ類）　葉ねぎ　葉　生,100,29.0,1.9,0.3,0.0,3.2,120.0,0.0,0.0,32.0
（ねぎ類）　葉ねぎ　葉　油いため,（ねぎ類）　葉ねぎ　葉　油いため,100,77.0,2.1,5.2,0.0,3.9,150.0,0.0,0.0,43.0
（ねぎ類）　こねぎ　葉　生,（ねぎ類）　こねぎ　葉　生,100,26.0,2.0,0.3,0.0,2.5,190.0,0.0,0.0,44.0
のざわな　葉　生,のざわな　葉　生,100,14.0,0.9,0.1,0.0,2.0,100.0,0.0,0.0,41.0
のざわな　漬物　塩漬,のざわな　漬物　塩漬,100,17.0,1.2,0.1,0.0,2.5,130.0,0.0,0.0,27.0
のざわな　漬物　調味漬,のざわな　漬物　調味漬,100,22.0,1.7,0.0,0.0,3.1,200.0,0.0,0.0,26.0
のびる　りん茎葉　生,のびる　りん茎葉　生,100,63.0,3.2,0.2,0.0,6.9,67.0,0.0,0.0,60.0
はくさい　結球葉　生,はくさい　結球葉　生,100,13.0,0.8,0.1,2.0,1.3,8.0,0.0,0.0,19.0
はくさい　結球葉　ゆで,はくさい　結球葉　ゆで,100,13.0,0.9,0.1,1.9,1.4,11.0,0.0,0.0,10.0
はくさい　漬物　塩漬,はくさい　漬物　塩漬,100,17.0,1.5,0.1,0.0,1.8,1.0,0.0,0.0,29.0
はくさい　漬物　キムチ,はくさい　漬物　キムチ,100,27.0,2.3,0.1,0.0,2.2,15.0,0.0,0.0,15.0
パクチョイ　葉　生,パクチョイ　葉　生,100,15.0,1.6,0.2,2.1,1.8,150.0,0.0,0.0,45.0
バジル　葉　生,バジル　葉　生,100,21.0,2.0,0.6,0.3,4.0,520.0,0.0,0.0,16.0
パセリ　葉　生,パセリ　葉　生,100,34.0,4.0,0.7,0.9,6.8,620.0,0.0,0.0,120.0
はつかだいこん　根　生,はつかだいこん　根　生,100,13.0,0.8,0.1,1.9,1.2,0.0,0.0,0.0,19.0
はなっこりー　生,はなっこりー　生,100,34.0,3.6,0.5,0.0,3.1,97.0,0.0,0.0,90.0
はやとうり　果実　白色種　生,はやとうり　果実　白色種　生,100,20.0,0.6,0.1,0.0,1.2,0.0,0.0,0.0,11.0
はやとうり　果実　白色種　塩漬,はやとうり　果実　白色種　塩漬,100,17.0,0.6,0.0,0.0,1.6,0.0,0.0,0.0,9.0
はやとうり　果実　緑色種　生,はやとうり　果実　緑色種　生,100,21.0,0.6,0.1,0.0,1.2,2.0,0.0,0.0,11.0
ビーツ　根　生,ビーツ　根　生,100,38.0,1.6,0.1,6.9,2.7,0.0,0.0,0.0,5.0
ビーツ　根　ゆで,ビーツ　根　ゆで,100,42.0,1.5,0.1,9.8,2.9,0.0,0.0,0.0,3.0
（ピーマン類）　青ピーマン　果実　生,（ピーマン類）　青ピーマン　果実　生,100,20.0,0.9,0.2,2.3,2.3,33.0,0.0,0.0,76.0
（ピーマン類）　青ピーマン　果実　油いため,（ピーマン類）　青ピーマン　果実　油いため,100,54.0,0.9,4.3,2.4,2.4,35.0,0.0,0.0,79.0
（ピーマン類）　赤ピーマン　果実　生,（ピーマン類）　赤ピーマン　果実　生,100,28.0,1.0,0.2,5.3,1.6,88.0,0.0,0.0,170.0
（ピーマン類）　赤ピーマン　果実　油いため,（ピーマン類）　赤ピーマン　果実　油いため,100,69.0,1.0,4.3,4.5,1.6,92.0,0.0,0.0,180.0
（ピーマン類）　オレンジピーマン　果実　生,（ピーマン類）　オレンジピーマン　果実　生,100,19.0,0.9,0.3,3.1,1.8,53.0,0.0,0.0,150.0
（ピーマン類）　オレンジピーマン　果実　油いため,（ピーマン類）　オレンジピーマン　果実　油いため,100,81.0,1.1,5.1,3.8,0.0,60.0,0.0,0.0,170.0
（ピーマン類）　黄ピーマン　果実　生,（ピーマン類）　黄ピーマン　果実　生,100,28.0,0.8,0.2,4.9,1.3,17.0,0.0,0.0,150.0
（ピーマン類）　黄ピーマン　果実　油いため,（ピーマン類）　黄ピーマン　果実　油いため,100,61.0,0.8,4.3,5.1,1.3,18.0,0.0,0.0,160.0
（ピーマン類）　トマピー　果実　生,（ピーマン類）　トマピー　果実　生,100,33.0,1.0,0.2,0.0,1.6,160.0,0.0,0.0,200.0
ひのな　根・茎葉　生,ひのな　根・茎葉　生,100,17.0,1.0,0.0,0.0,3.0,98.0,0.0,0.0,52.0
ひのな　根・茎葉　甘酢漬,ひのな　根・茎葉　甘酢漬,100,70.0,1.4,0.5,0.0,4.7,170.0,0.0,0.0,39.0
ひろしまな　葉　生,ひろしまな　葉　生,100,19.0,1.5,0.2,0.0,2.4,160.0,0.0,0.0,49.0
ひろしまな　塩漬,ひろしまな　塩漬,100,15.0,1.2,0.2,0.0,2.4,170.0,0.0,0.0,15.0
（ふき類）　ふき　葉柄　生,（ふき類）　ふき　葉柄　生,100,11.0,0.3,0.0,0.0,1.3,4.0,0.0,0.0,2.0
（ふき類）　ふき　葉柄　ゆで,（ふき類）　ふき　葉柄　ゆで,100,7.0,0.3,0.0,0.0,1.1,5.0,0.0,0.0,0.0
（ふき類）　ふきのとう　花序　生,（ふき類）　ふきのとう　花序　生,100,38.0,2.5,0.1,0.0,6.4,33.0,0.0,0.0,14.0
（ふき類）　ふきのとう　花序　ゆで,（ふき類）　ふきのとう　花序　ゆで,100,31.0,2.5,0.1,0.0,4.2,22.0,0.0,0.0,3.0
ふじまめ　若ざや　生,ふじまめ　若ざや　生,100,32.0,2.5,0.1,0.0,4.4,20.0,0.0,0.0,13.0
ふだんそう　葉　生,ふだんそう　葉　生,100,17.0,2.0,0.1,0.0,3.3,310.0,0.0,0.0,19.0
ふだんそう　葉　ゆで,ふだんそう　葉　ゆで,100,26.0,2.8,0.1,0.0,3.8,320.0,0.0,0.0,7.0
ブロッコリー　花序　生,ブロッコリー　花序　生,100,37.0,5.4,0.6,2.3,5.1,75.0,0.0,0.0,140.0
ブロッコリー　花序　ゆで,ブロッコリー　花序　ゆで,100,30.0,3.9,0.4,1.3,4.3,69.0,0.0,0.0,55.0
ブロッコリー　花序　電子レンジ調理,ブロッコリー　花序　電子レンジ調理,100,56.0,5.7,0.7,2.4,0.0,83.0,0.0,0.0,140.0
ブロッコリー　花序　焼き,ブロッコリー　花序　焼き,100,83.0,9.9,1.2,4.3,0.0,140.0,0.0,0.0,150.0
ブロッコリー　花序　油いため,ブロッコリー　花序　油いため,100,109.0,6.9,6.3,3.2,0.0,97.0,0.0,0.0,130.0
ブロッコリー　芽ばえ　生,ブロッコリー　芽ばえ　生,100,18.0,1.9,0.6,1.0,1.8,120.0,0.0,0.0,64.0
へちま　果実　生,へちま　果実　生,100,17.0,0.8,0.1,0.0,1.0,4.0,0.0,0.0,5.0
へちま　果実　ゆで,へちま　果実　ゆで,100,19.0,1.6,0.1,0.0,1.5,3.0,0.0,0.0,3.0
ほうれんそう　葉　通年平均　生,ほうれんそう　葉　通年平均　生,100,18.0,2.2,0.4,0.3,2.8,350.0,0.0,0.0,35.0
ほうれんそう　葉　通年平均　ゆで,ほうれんそう　葉　通年平均　ゆで,100,23.0,2.6,0.5,0.4,3.6,450.0,0.0,0.0,19.0
ほうれんそう　葉　通年平均　油いため,ほうれんそう　葉　通年平均　油いため,100,91.0,3.8,8.1,0.4,4.6,630.0,0.0,0.0,21.0
ほうれんそう　葉　夏採り　生,ほうれんそう　葉　夏採り　生,100,18.0,2.2,0.4,0.3,2.8,350.0,0.0,0.0,20.0
ほうれんそう　葉　夏採り　ゆで,ほうれんそう　葉　夏採り　ゆで,100,23.0,2.6,0.5,0.4,3.6,450.0,0.0,0.0,10.0
ほうれんそう　葉　冬採り　生,ほうれんそう　葉　冬採り　生,100,18.0,2.2,0.4,0.3,2.8,350.0,0.0,0.0,60.0
ほうれんそう　葉　冬採り　ゆで,ほうれんそう　葉　冬採り　ゆで,100,23.0,2.6,0.5,0.4,3.6,450.0,0.0,0.0,30.0
ほうれんそう　葉　冷凍,ほうれんそう　葉　冷凍,100,22.0,2.9,0.3,0.6,3.3,440.0,0.0,0.0,19.0
ほうれんそう　葉　冷凍　ゆで,ほうれんそう　葉　冷凍　ゆで,100,26.0,3.7,0.5,0.2,4.8,720.0,0.0,0.0,5.0
ほうれんそう　葉　冷凍　油いため,ほうれんそう　葉　冷凍　油いため,100,67.0,4.0,4.5,0.7,4.1,600.0,0.0,0.0,16.0
ホースラディシュ　根茎　生,ホースラディシュ　根茎　生,100,69.0,3.1,0.3,0.0,8.2,1.0,0.0,0.0,73.0
まこも　茎　生,まこも　茎　生,100,19.0,1.3,0.2,0.0,2.3,1.0,0.0,0.0,6.0
みずかけな　葉　生,みずかけな　葉　生,100,25.0,2.9,0.1,0.0,2.8,190.0,0.0,0.0,88.0
みずかけな　塩漬,みずかけな　塩漬,100,34.0,4.9,0.0,0.0,4.0,240.0,0.0,0.0,70.0
みずな　葉　生,みずな　葉　生,100,23.0,2.2,0.1,0.0,3.0,110.0,0.0,0.0,55.0
みずな　葉　ゆで,みずな　葉　ゆで,100,21.0,2.0,0.1,0.0,3.6,140.0,0.0,0.0,19.0
みずな　塩漬,みずな　塩漬,100,26.0,2.0,0.1,0.0,3.5,92.0,0.0,0.0,47.0
（みつば類）　切りみつば　葉　生,（みつば類）　切りみつば　葉　生,100,16.0,1.0,0.1,0.0,2.5,61.0,0.0,0.0,8.0
（みつば類）　切りみつば　葉　ゆで,（みつば類）　切りみつば　葉　ゆで,100,12.0,0.9,0.1,0.0,2.7,65.0,0.0,0.0,1.0
（みつば類）　根みつば　葉　生,（みつば類）　根みつば　葉　生,100,19.0,1.9,0.1,0.0,2.9,140.0,0.0,0.0,22.0
（みつば類）　根みつば　葉　ゆで,（みつば類）　根みつば　葉　ゆで,100,19.0,2.3,0.1,0.0,3.3,170.0,0.0,0.0,12.0
（みつば類）　糸みつば　葉　生,（みつば類）　糸みつば　葉　生,100,12.0,0.9,0.1,0.0,2.3,270.0,0.0,0.0,13.0
（みつば類）　糸みつば　葉　ゆで,（みつば類）　糸みつば　葉　ゆで,100,14.0,1.1,0.0,0.0,3.0,340.0,0.0,0.0,4.0
みぶな　葉　生,みぶな　葉　生,100,14.0,1.1,0.3,0.0,1.8,150.0,0.0,0.0,38.0
（みょうが類）　みょうが　花穂　生,（みょうが類）　みょうが　花穂　生,100,11.0,0.9,0.1,0.0,2.1,3.0,0.0,0.0,2.0
（みょうが類）　みょうがたけ　茎葉　生,（みょうが類）　みょうがたけ　茎葉　生,100,6.0,0.4,0.1,0.0,1.1,1.0,0.0,0.0,1.0
むかご　肉芽　生,むかご　肉芽　生,100,87.0,2.9,0.2,0.0,4.2,2.0,0.0,0.0,9.0
めキャベツ　結球葉　生,めキャベツ　結球葉　生,100,52.0,5.7,0.1,4.1,5.5,59.0,0.0,0.0,160.0
めキャベツ　結球葉　ゆで,めキャベツ　結球葉　ゆで,100,51.0,5.3,0.1,4.4,5.2,57.0,0.0,0.0,110.0
めたで　芽ばえ　生,めたで　芽ばえ　生,100,39.0,3.0,0.5,0.0,6.3,410.0,0.0,0.0,67.0
（もやし類）　アルファルファもやし　生,（もやし類）　アルファルファもやし　生,100,11.0,1.6,0.1,0.3,1.4,5.0,0.0,0.0,5.0
（もやし類）　だいずもやし　生,（もやし類）　だいずもやし　生,100,29.0,3.7,1.5,0.6,2.3,0.0,0.0,0.0,5.0
（もやし類）　だいずもやし　ゆで,（もやし類）　だいずもやし　ゆで,100,27.0,2.9,1.6,0.5,2.2,0.0,0.0,0.0,1.0
（もやし類）　ブラックマッペもやし　生,（もやし類）　ブラックマッペもやし　生,100,17.0,2.2,0.0,1.4,1.5,0.0,0.0,0.0,10.0
（もやし類）　ブラックマッペもやし　ゆで,（もやし類）　ブラックマッペもやし　ゆで,100,13.0,1.3,0.0,1.1,1.6,0.0,0.0,0.0,2.0
（もやし類）　ブラックマッペもやし　油いため,（もやし類）　ブラックマッペもやし　油いため,100,41.0,2.3,0.9,1.8,0.0,0.0,0.0,0.0,7.0
（もやし類）　りょくとうもやし　生,（もやし類）　りょくとうもやし　生,100,15.0,1.7,0.1,1.3,1.3,0.0,0.0,0.0,8.0
（もやし類）　りょくとうもやし　ゆで,（もやし類）　りょくとうもやし　ゆで,100,12.0,1.6,0.0,1.1,1.5,0.0,0.0,0.0,2.0
モロヘイヤ　茎葉　生,モロヘイヤ　茎葉　生,100,36.0,4.8,0.5,0.1,5.9,840.0,0.0,0.0,65.0
モロヘイヤ　茎葉　ゆで,モロヘイヤ　茎葉　ゆで,100,24.0,3.0,0.4,0.1,3.5,550.0,0.0,0.0,11.0
やぶまめ　生,やぶまめ　生,100,219.0,15.5,6.5,0.0,9.8,0.0,0.0,0.0,0.0
やまごぼう　みそ漬,やまごぼう　みそ漬,100,66.0,4.1,0.1,0.0,7.0,0.0,0.0,0.0,0.0
ゆりね　りん茎　生,ゆりね　りん茎　生,100,119.0,3.8,0.1,0.0,5.4,0.0,0.0,0.0,9.0
ゆりね　りん茎　ゆで,ゆりね　りん茎　ゆで,100,117.0,3.4,0.1,0.0,6.0,0.0,0.0,0.0,8.0
ようさい　茎葉　生,ようさい　茎葉　生,100,17.0,2.2,0.1,0.9,3.1,360.0,0.0,0.0,19.0
ようさい　茎葉　ゆで,ようさい　茎葉　ゆで,100,18.0,2.2,0.1,1.0,3.4,320.0,0.0,0.0,6.0
よめな　葉　生,よめな　葉　生,100,40.0,3.4,0.2,0.0,7.8,560.0,0.0,0.0,42.0
よもぎ　葉　生,よもぎ　葉　生,100,43.0,5.2,0.3,0.0,7.8,440.0,0.0,0.0,35.0
よもぎ　葉　ゆで,よもぎ　葉　ゆで,100,37.0,4.8,0.1,0.0,7.8,500.0,0.0,0.0,2.0
らっかせい　未熟豆　生,らっかせい　未熟豆　生,100,306.0,12.0,24.2,0.0,4.0,0.0,0.0,0.0,20.0
