name,kana,per,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,vitA_ug,vitB1_mg,vitB2_mg,vitC_mg
こむぎ　［パン類］　全粒粉パン,こむぎ　［パン類］　全粒粉パン,100,251.0,7.9,5.7,39.9,4.5,0.0,0.0,0.0,0.0
こむぎ　［パン類］　ぶどうパン,こむぎ　［パン類］　ぶどうパン,100,263.0,8.2,3.5,0.0,2.2,0.0,0.0,0.0,0.0
こむぎ　［パン類］　ロールパン,こむぎ　［パン類］　ロールパン,100,309.0,10.1,9.0,45.7,2.0,1.0,0.0,0.0,0.0
こむぎ　［パン類］　クロワッサン　レギュラータイプ,こむぎ　［パン類］　クロワッサン　レギュラータイプ,100,406.0,6.5,20.4,47.9,1.9,37.0,0.0,0.0,0.0
こむぎ　［パン類］　クロワッサン　リッチタイプ,こむぎ　［パン類］　クロワッサン　リッチタイプ,100,438.0,7.9,26.8,0.0,1.8,6.0,0.0,0.0,0.0
こむぎ　［パン類］　くるみパン,こむぎ　［パン類］　くるみパン,100,292.0,8.2,12.6,34.8,2.4,16.0,0.0,0.0,0.0
こむぎ　［パン類］　イングリッシュマフィン,こむぎ　［パン類］　イングリッシュマフィン,100,224.0,8.1,3.6,36.7,1.2,0.0,0.0,0.0,0.0
こむぎ　［パン類］　ナン,こむぎ　［パン類］　ナン,100,257.0,10.3,3.4,41.6,2.0,0.0,0.0,0.0,0.0
こむぎ　［パン類］　ベーグル,こむぎ　［パン類］　ベーグル,100,270.0,9.6,2.0,46.0,2.5,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　うどん　生,こむぎ　［うどん・そうめん類］　うどん　生,100,249.0,6.1,0.6,50.1,3.6,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　うどん　ゆで,こむぎ　［うどん・そうめん類］　うどん　ゆで,100,95.0,2.6,0.4,19.5,1.3,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　うどん　半生うどん,こむぎ　［うどん・そうめん類］　うどん　半生うどん,100,296.0,7.8,3.4,57.4,4.1,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　干しうどん　乾,こむぎ　［うどん・そうめん類］　干しうどん　乾,100,333.0,8.5,1.1,69.9,2.4,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　干しうどん　ゆで,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,100,117.0,3.1,0.5,24.2,0.7,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,100,333.0,9.5,1.1,65.1,2.5,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,100,114.0,3.5,0.4,23.3,0.9,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,100,312.0,9.3,1.5,63.5,1.8,0.0,0.0,0.0,0.0
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,100,119.0,3.5,0.6,22.2,1.0,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　中華めん　生,こむぎ　［中華めん類］　中華めん　生,100,249.0,8.6,1.2,47.6,5.4,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　中華めん　ゆで,こむぎ　［中華めん類］　中華めん　ゆで,100,133.0,4.9,0.6,25.2,2.8,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　半生中華めん　,こむぎ　［中華めん類］　半生中華めん　,100,305.0,9.9,4.0,54.2,6.2,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,100,162.0,4.9,1.7,30.6,3.1,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　蒸し中華めん  ソテー,こむぎ　［中華めん類］　蒸し中華めん  ソテー,100,211.0,5.2,4.9,35.9,3.6,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　干し中華めん　乾,こむぎ　［中華めん類］　干し中華めん　乾,100,337.0,11.7,1.6,65.0,6.0,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　干し中華めん　ゆで,こむぎ　［中華めん類］　干し中華めん　ゆで,100,131.0,4.9,0.5,25.4,2.6,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　沖縄そば　生,こむぎ　［中華めん類］　沖縄そば　生,100,266.0,9.2,2.0,48.1,2.1,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　沖縄そば　ゆで,こむぎ　［中華めん類］　沖縄そば　ゆで,100,132.0,5.2,0.8,24.8,1.5,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　干し沖縄そば　乾,こむぎ　［中華めん類］　干し沖縄そば　乾,100,317.0,12.0,1.7,61.3,2.1,0.0,0.0,0.0,0.0
こむぎ　［中華めん類］　干し沖縄そば　ゆで,こむぎ　［中華めん類］　干し沖縄そば　ゆで,100,132.0,5.2,0.6,25.2,1.5,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,100,424.0,10.1,16.7,57.3,2.5,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,100,439.0,10.1,19.1,54.9,2.4,1.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,100.0,2.3,4.4,12.2,0.5,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,100,189.0,3.9,7.7,26.1,2.6,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,100,453.0,8.9,19.6,59.3,5.5,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,100,336.0,10.3,5.2,59.8,2.3,1.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,100,93.0,3.0,0.8,15.8,0.6,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,100,139.0,3.4,0.8,26.6,2.7,3.0,0.0,0.0,0.0
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,100,334.0,8.5,1.9,67.7,6.5,5.0,0.0,0.0,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,100,422.0,10.9,18.5,52.1,5.8,26.0,0.0,0.0,2.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,100,92.0,2.5,4.2,3.5,1.3,6.0,0.0,0.0,1.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,100,175.0,3.8,7.7,22.7,2.2,6.0,0.0,0.0,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,100,417.0,10.0,19.1,49.8,6.1,12.0,0.0,0.0,2.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,100,90.0,2.3,4.5,6.0,1.4,3.0,0.0,0.0,1.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,100,142.0,3.0,5.8,16.7,1.9,1.0,0.0,0.0,0.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,100,418.0,8.2,18.6,54.5,5.7,4.0,0.0,0.0,1.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,100,222.0,5.0,11.3,13.5,3.3,2.0,0.0,0.0,2.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,100,314.0,9.2,5.8,54.3,6.4,12.0,0.0,0.0,1.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,100,66.0,2.5,2.1,12.2,1.5,3.0,0.0,0.0,2.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,100,121.0,3.4,1.3,23.4,2.5,0.0,0.0,0.0,0.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,100,437.0,10.9,19.8,53.0,6.0,4.0,0.0,0.0,1.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,91.0,2.2,4.7,6.7,1.4,0.0,0.0,0.0,2.0
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,100,163.0,2.7,7.2,21.2,2.4,0.0,0.0,0.0,1.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,100,347.0,12.9,1.8,66.9,5.4,1.0,0.0,0.0,0.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,100,150.0,5.8,0.9,28.5,3.0,0.0,0.0,0.0,0.0
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,100,186.0,5.5,5.8,27.0,2.9,0.0,0.0,0.0,0.0
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,100,232.0,7.8,1.9,42.2,1.5,0.0,0.0,0.0,0.0
こむぎ　［ふ類］　生ふ,こむぎ　［ふ類］　生ふ,100,161.0,12.7,0.8,0.0,0.5,0.0,0.0,0.0,0.0
こむぎ　［ふ類］　焼きふ　釜焼きふ,こむぎ　［ふ類］　焼きふ　釜焼きふ,100,357.0,28.5,2.7,0.0,3.7,0.0,0.0,0.0,0.0
こむぎ　［ふ類］　焼きふ　板ふ,こむぎ　［ふ類］　焼きふ　板ふ,100,351.0,25.6,3.3,0.0,3.8,0.0,0.0,0.0,0.0
こむぎ　［ふ類］　焼きふ　車ふ,こむぎ　［ふ類］　焼きふ　車ふ,100,361.0,30.2,3.4,0.0,2.6,0.0,0.0,0.0,0.0
こむぎ　［ふ類］　油ふ,こむぎ　［ふ類］　油ふ,100,547.0,22.7,35.3,0.0,0.0,0.0,0.0,0.0,0.0
こむぎ　［その他］　小麦はいが,こむぎ　［その他］　小麦はいが,100,391.0,32.0,11.6,27.5,14.3,5.0,0.0,0.0,0.0
こむぎ　［その他］　小麦たんぱく　粉末状,こむぎ　［その他］　小麦たんぱく　粉末状,100,398.0,72.0,9.7,0.0,2.4,1.0,0.0,0.0,0.0
こむぎ　［その他］　小麦たんぱく　粒状,こむぎ　［その他］　小麦たんぱく　粒状,100,101.0,20.0,2.0,0.0,0.4,0.0,0.0,0.0,0.0
こむぎ　［その他］　小麦たんぱく　ペースト状,こむぎ　［その他］　小麦たんぱく　ペースト状,100,145.0,25.0,4.1,0.0,0.5,1.0,0.0,0.0,0.0
こむぎ　［その他］　かやきせんべい,こむぎ　［その他］　かやきせんべい,100,359.0,10.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0
こむぎ　［その他］　ぎょうざの皮　生,こむぎ　［その他］　ぎょうざの皮　生,100,275.0,9.3,1.4,54.9,2.2,0.0,0.0,0.0,0.0
こむぎ　［その他］　しゅうまいの皮　生,こむぎ　［その他］　しゅうまいの皮　生,100,275.0,8.3,1.4,55.7,2.2,0.0,0.0,0.0,0.0
こむぎ　［その他］　春巻きの皮　生,こむぎ　［その他］　春巻きの皮　生,100,288.0,8.3,1.6,0.0,4.5,0.0,0.0,0.0,0.0
こむぎ　［その他］　春巻きの皮　揚げ,こむぎ　［その他］　春巻きの皮　揚げ,100,512.0,7.2,30.7,0.0,4.2,0.0,0.0,0.0,0.0
こむぎ　［その他］　ピザ生地,こむぎ　［その他］　ピザ生地,100,265.0,9.1,3.0,48.5,2.3,0.0,0.0,0.0,0.0
こむぎ　［その他］　ちくわぶ,こむぎ　［その他］　ちくわぶ,100,160.0,7.1,1.2,0.0,1.5,0.0,0.0,0.0,0.0
こむぎ　［その他］　パン粉　生,こむぎ　［その他］　パン粉　生,100,277.0,11.0,5.1,47.2,3.0,0.0,0.0,0.0,0.0
こむぎ　［その他］　パン粉　半生,こむぎ　［その他］　パン粉　半生,100,315.0,12.5,5.8,53.8,3.5,0.0,0.0,0.0,0.0
こむぎ　［その他］　パン粉　乾燥,こむぎ　［その他］　パン粉　乾燥,100,369.0,14.6,6.8,62.9,4.0,0.0,0.0,0.0,0.0
こむぎ　［その他］　冷めん　生,こむぎ　［その他］　冷めん　生,100,249.0,3.9,0.7,52.4,1.1,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　玄米,こめ　［水稲穀粒］　玄米,100,346.0,6.8,2.7,71.3,3.0,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　半つき米,こめ　［水稲穀粒］　半つき米,100,345.0,6.5,1.8,74.1,1.4,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　七分つき米,こめ　［水稲穀粒］　七分つき米,100,348.0,6.3,1.5,75.8,0.9,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　精白米　うるち米,こめ　［水稲穀粒］　精白米　うるち米,100,342.0,6.1,0.9,75.6,0.5,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　精白米　もち米,こめ　［水稲穀粒］　精白米　もち米,100,343.0,6.4,1.2,70.5,0.5,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　精白米　インディカ米,こめ　［水稲穀粒］　精白米　インディカ米,100,347.0,7.4,0.9,73.0,0.5,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　はいが精米,こめ　［水稲穀粒］　はいが精米,100,343.0,6.5,2.0,72.2,1.3,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　発芽玄米,こめ　［水稲穀粒］　発芽玄米,100,339.0,6.5,3.3,69.3,3.1,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　赤米,こめ　［水稲穀粒］　赤米,100,344.0,8.5,3.3,65.2,6.5,0.0,0.0,0.0,0.0
こめ　［水稲穀粒］　黒米,こめ　［水稲穀粒］　黒米,100,341.0,7.8,3.2,65.7,5.6,3.0,0.0,0.0,0.0
こめ　［水稲めし］　玄米,こめ　［水稲めし］　玄米,100,152.0,2.8,1.0,32.0,1.4,0.0,0.0,0.0,0.0
こめ　［水稲めし］　半つき米,こめ　［水稲めし］　半つき米,100,154.0,2.7,0.6,33.5,0.8,0.0,0.0,0.0,0.0
こめ　［水稲めし］　七分つき米,こめ　［水稲めし］　七分つき米,100,160.0,2.6,0.5,33.5,0.5,0.0,0.0,0.0,0.0
こめ　［水稲めし］　精白米　インディカ米,こめ　［水稲めし］　精白米　インディカ米,100,184.0,3.8,0.4,37.3,0.4,0.0,0.0,0.0,0.0
こめ　［水稲めし］　精白米　うるち米,こめ　［水稲めし］　精白米　うるち米,100,156.0,2.5,0.3,34.6,1.5,0.0,0.0,0.0,0.0
こめ　［水稲めし］　精白米　もち米,こめ　［水稲めし］　精白米　もち米,100,188.0,3.5,0.5,41.5,0.4,0.0,0.0,0.0,0.0
